Shortcode,Technology,Defender,Implementation,Security Function,Maturity Level,Description,CSF Category,Prerequisites,References,IPAC,Verification
PT-P-IP-M01-006, SAP ABAP,Technology(T),"

", PT, 1,"

", Information Protection Processes and Procedures,,"- BSI APP.4.2 SAP-ERP-System, APP.4.2.A1 Secure configuration of the SAP ABAP stack (B) / Sichere Konfiguration des SAP-ABAP-Stacks (B)",P,
PT-P-IP-M01-002, SAP ABAP,Technology(T),"

", PT, 1,"

", Information Protection Processes and Procedures,,"- BSI APP.4.2 SAP-ERP-System, APP.4.2.A1 Secure configuration of the SAP ABAP stack (B) / Sichere Konfiguration des SAP-ABAP-Stacks (B)",P,
PT-P-IP-M01-003, SAP ABAP,Technology(T),"

", PT, 1,"

", Information Protection Processes and Procedures,,"- BSI APP.4.2 SAP-ERP-System, APP.4.2.A1 Secure configuration of the SAP ABAP stack (B) / Sichere Konfiguration des SAP-ABAP-Stacks (B)",P,
PT-C-IP-M01-001,,,"
A standard and defined change management process should cover the controls, defined below, when delivering or handling custom applications that will be, or already, integrated with the organizations SAP ecosystem(1).

(1) - This can be amended to the organizations change management if exists
",,,"
Implementing custom code in the organization should have a defined change management process. This enables organizations to determine whether custom applications should be used as a replacement to existing applications or removed from the organization.
",,,"- BSI APP.4.2 SAP-ERP-System, APP.4.2.A26 Protection of the customer's own code in the SAP ERP system (S) / Schutz des kundeneigenen Codes im SAP-ERP-System (S)- CIS CSC 3, 11- COBIT 5 BAI01.06, BAI06.01- ISA 62443-2-1:2009 4.3.4.3.2, 4.3.4.3.3- ISA 62443-3-3:2013 SR 7.6- ISO/IEC 27001:2013 A.12.1.2, A.12.5.1, A.12.6.2, A.14.2.2, A.14.2.3, A.14.2.4- NIST SP 800-53 Rev. 4 CM-3, CM-4, SA-10",,"- [ ] Implementing policies that clearly define the installation of custom applications- [ ] Modifying custom code to be limited and only done when necessary- [ ] Changes are tested to avoid any impact on operations- [ ] Installation and removal of custom applications properly documented and tracked- [ ] A Secure Software Development Lifecycle (SSDLC) defined when customizing, changing, developing, and integrating application"
PT-P-IP-M01-004, SAP ABAP,Technology(T),"

", PT, 1,"

", Information Protection Processes and Procedures,,"- BSI APP.4.2 SAP-ERP-System, APP.4.2.A1 Secure configuration of the SAP ABAP stack (B) / Sichere Konfiguration des SAP-ABAP-Stacks (B)",P,
PT-A-IP-M01-001, ABAP,Process&Technology,"
Default passwords for the standard user IDs should be changed and the companies password policy(1) should be applied.

Standard user IDs that are not required should be deleted or disabled.

Standard user IDs such as EARLYWATCH should not exist in any client.

Self registration should not be allowed and turned off for better access control.

(1) - Password policies changes across different organizations depending on several criteria's such criticality of the industry, local or federal laws, security standards that are mandatory to the industry and so on  
", PT, 1,"
 Standard user IDs allowed to access SAP systems should be properly managed and configured. This will allow organizations to follow the least privilege principle.
", Information Protection Processes and Procedures,,"- BSI APP.4.2 SAP-ERP-System, APP.4.2.A4 Protection of the delivered SAP standard user IDs / Absicherung der ausgelieferten SAP-Standardbenutzer-Kennungen- SAP Security Baseline Template V2.0: 2.3.1",PA,- [ ] Default password for standard user IDs are changed- [ ] Password policy is applied properly across SAP systems- [ ] Standard user IDs are deleted and disabled when not in use- [ ] User self registration is turned off
PT-P-IP-M01-005, SAP ABAP,Technology(T),"

", PT, 1,"

", Information Protection Processes and Procedures,,"- BSI APP.4.2 SAP-ERP-System, APP.4.2.A1 Secure configuration of the SAP ABAP stack (B) / Sichere Konfiguration des SAP-ABAP-Stacks (B)",P,
PT-P-IP-M01-001, SAP HANA,Process,, PT, 1,"
SAP database contains critical information and data for different departments within an organization. The data must always be backed up, protected through encryption, maintained and reviewed on regular basis, and tested regularly.   
", Information Protection Processes and Procedures,,"In case the backups have been compromised, an encryption is required to maintain the confidentiality of the backed up data. Encryption keys are stored and secured in a separate system or location than the backup data.",P,"Database system backups and tenant backups are required to be done on a scheduled and consistent manner. A full database should be done on a weekly basis, and a differential or incremental backup throughout the week."
DT-P-AE-M01-005, SAP ERP,Process,"
Workload monitor is deactivated by default, and needs to be activated when investigating events or incidents caused by users.

Tracking user activity may not be permitted in different parts of the world. Make sure to follow any data protection regulations your organizations falls under when tracking use activity.
", DT, 1,"
Workload monitor:

The workload monitor helps with analyzing system statistics in SAP systems. An important part of the workload monitor is its capability to collect activities performed by users against the system. This avoids nonrepudiation and helps in analyzing changes or security events that caused an incident to take place.
", Anomalies and Events,,,P,- [ ] Start the workload monitor using the STO3N transaction
DT-P-AE-M01-001, SAP ERP,Process,"
Areas of acquiring important logs within the organization's SAP ERP:

1. Security audit log - DT-P-AE-M01-002
2. System log - DT-P-AE-M01-003
3. Table logging - DT-P-AE-M01-004
4. Workload Monitor - DT-P-AE-M01-005
5. Read Access Logging - DT-P-AE-M01-006
6. User Information System -  DT-P-AE-M01-007

Each area is used to extract and analyze data for different activities that occur in the system.

Note: each area is described in its respective control
", DT, 1,"
The organization is responsible for defining policies and procedures when identifying, collecting, acquiring, and preserving data that is used for evidence.
", Anomalies and Events,,"- BSI APP.4.2 SAP-ERP-System, APP.4.2.A32 Real-time recording and alarming of irregular processes (H) / Echtzeiterfassung und Alarmierung von irregulären Vorgängen (H)",P,"- [ ] A policy has been defined and created to identify, collect, acquire and preserve information from different log tools"
PT-I-IP-M01-003, SAP RFC,Technology,"
Profile parameters should be set for the different systems to restrict access from different RFC connections.

Profile parameters:

1. - [ ] gw/sec_info to be set to filename secinfo (ACL file)
2. - [ ] gw/reg_info to be set to filename reginfo (ACL file)
3. - [ ] gw/reg_no_conn_info set to 1 or higher odd numbers
4. - [ ] gw/acl_mode set to 1 (initial security environment)
5. - [ ] gw/monitor set to 1 (monitoring to be set to local access only)
6. - [ ] gw/sim_mode set to 0 (can temporarily be set to 1 to test ACL files, and find missing entries to be added to the ACL. Do not keep the value to 1)
7. - [ ] gw/rem_start set to disable or SSH_SHELL (An acceptable method to allow the start of programs via the RFC gateway)
", PT, 1,"
RFC gateways are commonly found on ABAP, Java and stand-alone systems. Securing access for the different RFC connections mitigates unauthenticated and un-administered access from taking place.
", Information Protection Processes and Procedures,,"- BSI APP.4.2 SAP-ERP-System, APP.4.2.A8 Securing the SAP RFC interface/ Absicherung der SAP-RFC-Schnittstelle- SAP Security Baseline Template V2.0: 2.3.2.3- SAP Note 1480644- SAP Note 1408081- SAP Note 1444282- SAP Note 1298433- SAP Note 64016- SAP Note 1689663",,- [ ] Profile parameters are set as per the implementation section- [ ] Missing entries are detected and added to the access control list (see no. 6 in implementation section)
PT-I-PT-M01-001,,Technology,"
External traffic:

The SAP router and web dispatcher should be available in the demilitarized (DMZ) zone in order to filter appropriate traffic before entering through the firewall.  

Internal traffic:

SAP systems should be placed on a separate subnet within the internal network. This allows an easier way to manage policies and protection for SAP systems.

Governance:

The architecture of SAP systems should be properly documented which should include but not limited to connections, communications, data flow, users and used protocols.

", PT, 1,"
SAP network implementations should be managed, monitored, and controlled to protect information in applications and systems.

The control involves the need to securely configure the SAP Router and Web Dispatcher to act as an application-level gateways in the DMZ zone.
", Protective Technology,,"- BSI APP.4.2 SAP-ERP-System, APP.4.2.A3 Network Security/ Netzsicherheit- CIS CSC 8, 12, 15- COBIT 5 DSS05.02, APO13.01- ISA 62443-3-3:2013 SR 3.1, SR 3.5, SR 3.8, SR 4.1, SR 4.3, SR 5.1, SR 5.2, SR 5.3, SR 7.1, SR 7.6- ISO/IEC 27001:2013 A.13.1.1, A.13.2.1, A.14.1.3- NIST SP 800-53 Rev. 4 AC-4, AC-17, AC-18, CP-8, SC-7, SC-19, SC-20, SC-21, SC-22, SC-23, SC-24, SC-25, SC-29, SC-32, SC-36, SC-37, SC- 38, SC-39, SC-40, SC-41, SC-43",I,- [ ] SAP Router and Web dispatcher placed in DMZ zone- [ ] ACLs are in place to filter unwanted traffic- [ ] Only recommended ports are allowed to access the network.  - [ ] SAP systems are on a separate subnet inside the organization- [ ] Documentation providing an illustrative view of the SAP architecture
PT-I-IP-M01-002, RFC Connections,Process,"
As a rule of thumb, connections from lower classification systems, such as development or test systems, to high classification systems, such as production systems, should not use a trusted system logon or store user credentials.

Connectivity configuration data is the only thing that can be stored in the different systems.

", PT, 1,"
Managing RFC connections between different systems of different classification levels is required in order to mitigate privilege escalation to sensitive or production systems.
", Information Protection Processes and Procedures,,"- BSI APP.4.2 SAP-ERP-System, APP.4.2.A8 Securing the SAP RFC interface/ Absicherung der SAP-RFC-Schnittstelle- SAP Security Baseline Template V2.0: 2.3.2.3",,- [ ] Authentication is required on every connection from lower to higher classification system- [ ] To determine RFC connections that store user credentials use the RSRFCCHK report in all systems locally- [ ] Restrict authorization to maintain RFC destinations in transaction SM59 by strictly controlling  authorization  object S_RFC_ADM
DT-P-AE-M01-004, SAP ERP,Process,"
Activate the table logging in the profile parameter rec/client. It is recommended to set this parameter to log from all clients within your SAP environment.

As a rule of thumb, choose tables that are either classified with the highest classification level or choose tables depending on the criticality of data found in them.

Alerts can be configured when a certain event occurs or a threshold is reached, this helps automate the review process of table logging and reduces workload from administrators. Sending logs to a central location helps to achieve setting up alerts.
", DT, 1,"
Table logging:

Identifying and collecting logs to identify changes in critical tables is necessary to maintain the integrity of data available in different tables.

", Anomalies and Events,,,P,- [ ] Set the rec/client parameter to enable logging- [ ] Set the rec/client parameter to collect from all clients- [ ] Define tables to be logged using transaction SE13- [ ] Use transaction SCU3 to get an overview of all tables that have table logging enabled and the changes to these tables- [ ] Configure alerts for important events to reactively respond to any changes in tables
PT-A-AC-M01-002,,Process,"
Rights to administer users in SAP should only be given to users that have the same job role or identified by the organization(1).

logging and monitoring SAP administrators allows easier identification of administrative misuse.

(1) - Most user administrators are from the IT department in organizations. Some organizations leave the user administration to HR, which is more preferable.

", PT, 1,"
SAP user administration should be only allowed to administrators that are identified by the organization and have the appropriate rights to handle the creation, deletion, assigning roles and profiles, and password management of users.
"," Identity Management, Authentication and Access Control",,"- BSI APP.4.2 SAP-ERP-System, APP.4.2.A5 Configuration and orotection of the SAP user administration / Konfiguration und Absicherung der SAP-Benutzerverwaltung- SAP Security Baseline Template V2.0: 2.3.1- CIS CSC 1, 5, 15, 16- COBIT 5 DSS05.04, DSS06.03- ISA 62443-2-1:2009 4.3.3.5.1- ISA 62443-3-3:2013 SR 1.1, SR 1.2, SR 1.3, SR 1.4, SR 1.5, SR 1.7, SR 1.8, SR 1.9- ISO/IEC 27001:2013 A.9.2.1, A.9.2.2, A.9.2.3, A.9.2.4, A.9.2.6, A.9.3.1, A.9.4.2, A.9.4.3- NIST SP 800-53 Rev. 4 AC-1, AC-2, IA-1, IA-2, IA-3, IA-4, IA-5, IA-6, IA-7, IA-8, IA-9, IA-10, IA-11",A,- [ ] Identify SAP user administrators and verify that these roles are given to only allowed users- [ ] Logs are available to verify the misuse of administrative actions- [ ] Monitoring is available to detect any misuse with user administration

